set PlaneNumber := 1 2 3 4 5 6 7 8 9 10;

param MinTime:=
	1 45
	2 30
	3 120
	4 100
	5 90
	6 75
	7 140
	8 145
	9 130
	10 110;

param TargetTime:=
	1 75
	2 65
	3 160
	4 125
	5 120
	6 110
	7 200
	8 180
	9 175
	10 150;

param MaxTime:=
	1 150
	2 150
	3 220
	4 200
	5 180
	6 190
	7 275
	8 250
	9 260
	10 225;

param EarlyCost:=
	1 25
	2 25
	3 45
	4 50
	5 40
	6 40
	7 50
	8 45
	9 50
	10 35;

param LateCost:=
	1 50
	2 50
	3 70
	4 75
	5 90
	6 100
	7 85
	8 65
	9 65
	10 60;

param SameDifference :=
    1 1 0
    1 2 5
    1 3 10
    1 4 8
    1 5 4
    1 6 7
    1 7 10
    1 8 6
    1 9 10
    1 10 7
    2 1 5
    2 2 0
    2 3 15
    2 4 15
    2 5 10
    2 6 8
    2 7 10
    2 8 15
    2 9 10
    2 10 15
    3 1 10
    3 2 15
    3 3 0
    3 4 10
    3 5 5
    3 6 15
    3 7 10
    3 8 7
    3 9 15
    3 10 10
    4 1 8
    4 2 15
    4 3 10
    4 4 0
    4 5 7
    4 6 10
    4 7 5
    4 8 8
    4 9 8
    4 10 10
    5 1 4
    5 2 10
    5 3 5
    5 4 7
    5 5 0
    5 6 10
    5 7 15
    5 8 10
    5 9 15
    5 10 8
    6 1 7
    6 2 8
    6 3 15
    6 4 10
    6 5 10
    6 6 0
    6 7 8
    6 8 10
    6 9 6
    6 10 9
    7 1 10
    7 2 10
    7 3 15
    7 4 8
    7 5 15
    7 6 6
    7 7 0
    7 8 10
    7 9 10
    7 10 8
    8 1 6
    8 2 15
    8 3 7
    8 4 8
    8 5 10
    8 6 10
    8 7 10
    8 8 0
    8 9 8
    8 10 10
    9 1 10
    9 2 10
    9 3 15
    9 4 8
    9 5 15
    9 6 6
    9 7 10
    9 8 8
    9 9 0
    9 10 7
    10 1 7
    10 2 15
    10 3 10
    10 4 10
    10 5 8
    10 6 9
    10 7 8
    10 8 10
    10 9 7
    10 10 0;

param DiffDifference :=
    1 1 0
    1 2 2
    1 3 50
    1 4 4
    1 5 4
    1 6 7
    1 7 5
    1 8 6
    1 9 5
    1 10 7
    2 1 3
    2 2 0
    2 3 9
    2 4 9
    2 5 5
    2 6 4
    2 7 5
    2 8 9
    2 9 5
    2 10 9
    3 1 5
    3 2 9
    3 3 0
    3 4 5
    3 5 3
    3 6 9
    3 7 5
    3 8 7
    3 9 9
    3 10 5
    4 1 4
    4 2 9
    4 3 5
    4 4 0
    4 5 7
    4 6 5
    4 7 3
    4 8 4
    4 9 4
    4 10 5
    5 1 4
    5 2 5
    5 3 3
    5 4 7
    5 5 0
    5 6 5
    5 7 9
    5 8 5
    5 9 9
    5 10 4
    6 1 7
    6 2 4
    6 3 9
    6 4 5
    6 5 5
    6 6 0
    6 7 4
    6 8 5
    6 9 6
    6 10 9
    7 1 5
    7 2 5
    7 3 9
    7 4 4
    7 5 9
    7 6 6
    7 7 0
    7 8 5
    7 9 5
    7 10 4
    8 1 6
    8 2 9
    8 3 7
    8 4 4
    8 5 5
    8 6 5
    8 7 5
    8 8 0
    8 9 4
    8 10 5
    9 1 5
    9 2 5
    9 3 9
    9 4 4
    9 5 9
    9 6 6
    9 7 5
    9 8 4
    9 9 0
    9 10 7
    10 1 7
    10 2 9
    10 3 5
    10 4 5
    10 5 4
    10 6 9
    10 7 4
    10 8 5
    10 9 7
    10 10 0;
